WS_ID,Name,Primary_MIC,Primary_Ticker,Yahoo_Symbol,HKEX_Code_Norm,Prior_HKEX_ISIN_Norm,Current_HKEX_Stock_Code,Current_HKEX_Category,Current_HKEX_Sub_Category,Current_HKEX_ISIN,Current_HKEX_ISIN_Norm,Current_ISIN_Match_v0_26,Identity_Match_Status_v0_26,Semantics_Status_v0_26,Instrument_Decision_v0_26,Strict_Security_Type_Semantics_v0_27,Instrument_Decision_v0_27,Eligibility_Promotion_v0_27,Reason_v0_27
WS:XHKG:1,CKH HOLDINGS,XHKG,1,0001.HK,00001,KYG217651051,00001,Equity,Equity Securities (Main Board),KYG217651051,KYG217651051,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:1024,KUAISHOU - W,XHKG,1024,1024.HK,01024,KYG532631028,01024,Equity,Equity Securities (Main Board),KYG532631028,KYG532631028,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:1088,CHINA SHENHUA,XHKG,1088,1088.HK,01088,CNE1000002R0,01088,Equity,Equity Securities (Main Board),CNE1000002R0,CNE1000002R0,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:1093,CSPC PHARMA,XHKG,1093,1093.HK,01093,HK1093012172,01093,Equity,Equity Securities (Main Board),HK1093012172,HK1093012172,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:1109,CHINA RES LAND,XHKG,1109,1109.HK,01109,KYG2108Y1052,01109,Equity,Equity Securities (Main Board),KYG2108Y1052,KYG2108Y1052,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:1113,CK ASSET,XHKG,1113,1113.HK,01113,KYG2177B1014,01113,Equity,Equity Securities (Main Board),KYG2177B1014,KYG2177B1014,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:1177,SBP GROUP,XHKG,1177,1177.HK,01177,KYG8167W1380,01177,Equity,Equity Securities (Main Board),KYG8167W1380,KYG8167W1380,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:12,HENDERSON LAND,XHKG,12,0012.HK,00012,HK0012000102,00012,Equity,Equity Securities (Main Board),HK0012000102,HK0012000102,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:1209,CHINA RES MIXC,XHKG,1209,1209.HK,01209,KYG2122G1064,01209,Equity,Equity Securities (Main Board),KYG2122G1064,KYG2122G1064,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
WS:XHKG:1211,BYD COMPANY,XHKG,1211,1211.HK,01211,CNE100000296,01211,Equity,Equity Securities (Main Board),CNE100000296,CNE100000296,True,EXACT_STOCK_CODE_AND_ISIN_COMPATIBLE,IDENTITY_AND_CATEGORY_MATERIALIZED_SEMANTICS_NOT_PROMOTED,UNCHANGED_NOT_VERIFIED,HKEX_EQUITY_MAIN_BOARD_IDENTITY_VERIFIED_SUBTYPE_NOT_STRICTLY_PROVEN,UNCHANGED_NOT_VERIFIED,False,"Official Category/Sub-Category proves HKEX equity/Main Board membership, but frozen evidence does not prove strict Common/Ordinary Share subtype for each security."
