WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:ISIN:INE002A01018,Reliance Industries Ltd.,INE002A01018,COMMON_STOCK,India,RELIANCE,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE009A01021,Infosys Ltd.,INE009A01021,COMMON_STOCK,India,INFY,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE018A01030,Larsen & Toubro Ltd.,INE018A01030,COMMON_STOCK,India,LT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE019A01038,JSW Steel Ltd.,INE019A01038,COMMON_STOCK,India,JSWSTEEL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE021A01026,Asian Paints Ltd.,INE021A01026,COMMON_STOCK,India,ASIANPAINT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE027H01010,Max Healthcare Institute Ltd.,INE027H01010,COMMON_STOCK,India,MAXHEALTH,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE030A01027,Hindustan Unilever Ltd.,INE030A01027,COMMON_STOCK,India,HINDUNILVR,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE038A01020,Hindalco Industries Ltd.,INE038A01020,COMMON_STOCK,India,HINDALCO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE040A01034,HDFC Bank Ltd.,INE040A01034,COMMON_STOCK,India,HDFCBANK,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE044A01036,Sun Pharmaceutical Industries Ltd.,INE044A01036,COMMON_STOCK,India,SUNPHARMA,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE047A01021,Grasim Industries Ltd.,INE047A01021,COMMON_STOCK,India,GRASIM,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE059A01026,Cipla Ltd.,INE059A01026,COMMON_STOCK,India,CIPLA,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE062A01020,State Bank of India,INE062A01020,COMMON_STOCK,India,SBIN,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE066A01021,Eicher Motors Ltd.,INE066A01021,COMMON_STOCK,India,EICHERMOT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE075A01022,Wipro Ltd.,INE075A01022,COMMON_STOCK,India,WIPRO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE081A01020,Tata Steel Ltd.,INE081A01020,COMMON_STOCK,India,TATASTEEL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE089A01031,Dr. Reddy's Laboratories Ltd.,INE089A01031,COMMON_STOCK,India,DRREDDY,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE090A01021,ICICI Bank Ltd.,INE090A01021,COMMON_STOCK,India,ICICIBANK,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE101A01026,Mahindra & Mahindra Ltd.,INE101A01026,COMMON_STOCK,India,M&M,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE123W01016,SBI Life Insurance Company Ltd.,INE123W01016,COMMON_STOCK,India,SBILIFE,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE154A01025,ITC Ltd.,INE154A01025,COMMON_STOCK,India,ITC,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE155A01022,Tata Motors Passenger Vehicles Ltd.,INE155A01022,COMMON_STOCK,India,TMPV,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE192A01025,Tata Consumer Products Ltd.,INE192A01025,COMMON_STOCK,India,TATACONSUM,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE213A01029,Oil & Natural Gas Corporation Ltd.,INE213A01029,COMMON_STOCK,India,ONGC,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE237A01036,Kotak Mahindra Bank Ltd.,INE237A01036,COMMON_STOCK,India,KOTAKBANK,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE238A01034,Axis Bank Ltd.,INE238A01034,COMMON_STOCK,India,AXISBANK,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE239A01024,Nestle India Ltd.,INE239A01024,COMMON_STOCK,India,NESTLEIND,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE263A01024,Bharat Electronics Ltd.,INE263A01024,COMMON_STOCK,India,BEL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE280A01028,Titan Company Ltd.,INE280A01028,COMMON_STOCK,India,TITAN,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE296A01032,Bajaj Finance Ltd.,INE296A01032,COMMON_STOCK,India,BAJFINANCE,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE397D01024,Bharti Airtel Ltd.,INE397D01024,COMMON_STOCK,India,BHARTIARTL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE423A01024,Adani Enterprises Ltd.,INE423A01024,COMMON_STOCK,India,ADANIENT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE437A01024,Apollo Hospitals Enterprise Ltd.,INE437A01024,COMMON_STOCK,India,APOLLOHOSP,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE467B01029,Tata Consultancy Services Ltd.,INE467B01029,COMMON_STOCK,India,TCS,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE481G01011,UltraTech Cement Ltd.,INE481G01011,COMMON_STOCK,India,ULTRACEMCO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE522F01014,Coal India Ltd.,INE522F01014,COMMON_STOCK,India,COALINDIA,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE585B01010,Maruti Suzuki India Ltd.,INE585B01010,COMMON_STOCK,India,MARUTI,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE646L01027,InterGlobe Aviation Ltd.,INE646L01027,COMMON_STOCK,India,INDIGO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE669C01036,Tech Mahindra Ltd.,INE669C01036,COMMON_STOCK,India,TECHM,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE721A01047,Shriram Finance Ltd.,INE721A01047,COMMON_STOCK,India,SHRIRAMFIN,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE733E01010,NTPC Ltd.,INE733E01010,COMMON_STOCK,India,NTPC,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE742F01042,Adani Ports and Special Economic Zone Ltd.,INE742F01042,COMMON_STOCK,India,ADANIPORTS,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE752E01010,Power Grid Corporation of India Ltd.,INE752E01010,COMMON_STOCK,India,POWERGRID,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE758E01017,Jio Financial Services Ltd.,INE758E01017,COMMON_STOCK,India,JIOFIN,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE758T01015,Eternal Ltd.,INE758T01015,COMMON_STOCK,India,ETERNAL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE795G01014,HDFC Life Insurance Company Ltd.,INE795G01014,COMMON_STOCK,India,HDFCLIFE,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE849A01020,Trent Ltd.,INE849A01020,COMMON_STOCK,India,TRENT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE860A01027,HCL Technologies Ltd.,INE860A01027,COMMON_STOCK,India,HCLTECH,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
WS:ISIN:INE917I01010,Bajaj Auto Ltd.,INE917I01010,COMMON_STOCK,India,BAJAJ-AUTO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,TRUE,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22T18:43:59.282000,,
