Segment_ID,WS_ID_Candidate,ISIN,Primary_MIC,Primary_Ticker,Security_Name_Official,B3_Type_Official,Instrument_Type_v0_31,Instrument_Gate_v0_31,Instrument_Gate_Reason_v0_31,Identity_Gate_v0_31,Identity_Method_v0_31,Source_Membership_Gate_v0_31,Source_ID,Source_AsOf_Official_Display,Source_AsOf_Official,Source_AsOf_Semantics,Source_Endpoint,Primary_MIC_Evidence_URL,Official_Source_Provides_ISIN,Strict_Ordinary_Identity_Candidate_v0_31,Canonical_Master_Import_v0_31,Needs_Liquidity_Gate
BR_IBRX100,WS:BVMF:BBDC4,,BVMF,BBDC4,BRADESCO,PN N1,PREFERRED_SHARE,FAIL,B3_TYPE_PN_PREFERRED_SHARE_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:BRAP4,,BVMF,BRAP4,BRADESPAR,PN N1,PREFERRED_SHARE,FAIL,B3_TYPE_PN_PREFERRED_SHARE_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:BPAC11,,BVMF,BPAC11,BTGP BANCO,UNT N2,UNIT,FAIL,B3_TYPE_UNIT_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:CMIG4,,BVMF,CMIG4,CEMIG,PN N1,PREFERRED_SHARE,FAIL,B3_TYPE_PN_PREFERRED_SHARE_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:ENGI11,,BVMF,ENGI11,ENERGISA,UNT N2,UNIT,FAIL,B3_TYPE_UNIT_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:GGBR4,,BVMF,GGBR4,GERDAU,PN ED N1,PREFERRED_SHARE,FAIL,B3_TYPE_PN_PREFERRED_SHARE_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:GOAU4,,BVMF,GOAU4,GERDAU MET,PN ED N1,PREFERRED_SHARE,FAIL,B3_TYPE_PN_PREFERRED_SHARE_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:IGTI11,,BVMF,IGTI11,IGUATEMI S.A,UNT N1,UNIT,FAIL,B3_TYPE_UNIT_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:ISAE4,,BVMF,ISAE4,ISA ENERGIA,PN N1,PREFERRED_SHARE,FAIL,B3_TYPE_PN_PREFERRED_SHARE_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
BR_IBRX100,WS:BVMF:ITSA4,,BVMF,ITSA4,ITAUSA,PN N1,PREFERRED_SHARE,FAIL,B3_TYPE_PN_PREFERRED_SHARE_NOT_ALLOWED,PASS,PRIMARY_MIC_OFFICIAL_TICKER_STABLE_WSID_NO_ISIN_IN_MEMBERSHIP_SOURCE,PASS_OFFICIAL_B3_IBRX100,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,31/08/26,2026-08-31,OFFICIAL_B3_HEADER_DATE_UNINTERPRETED,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0976133DB2C0161344308732779,False,False,False,False
