WS_ID,ISIN,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Issuer,MedianTurnover20_EUR,Note
US1:US12503M1080:XNAS,US12503M1080,XNAS,CBOE,CBOE,"Cboe Global Markets, Inc.",207079827.3,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US12514G1085:XNAS,US12514G1085,XNAS,CDW,CDW,CDW,182952508.46,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US03073E1055:XNYS,US03073E1055,XNYS,COR,COR,Cencora,316431810.13,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US15135B1017:XNYS,US15135B1017,XNYS,CNC,CNC,Centene Corporation,197027101.89,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US15189T1079:XNYS,US15189T1079,XNYS,CNP,CNP,Union Pacific Railroad,181781683.37,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1252691001:XNYS,US1252691001,XNYS,CF,CF,CF Industries,261047331.57,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1598641074:XNYS,US1598641074,XNYS,CRL,CRL,Charles River Laboratories,224757329.12,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US8085131055:XNYS,US8085131055,XNYS,SCHW,SCHW,Charles Schwab Corporation,624016184.24,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1667641005:XNYS,US1667641005,XNYS,CVX,CVX,Chevron Corporation,1369762036.14,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1696561059:XNYS,US1696561059,XNYS,CMG,CMG,Chipotle Mexican Grill,430211145.46,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1713401024:XNYS,US1713401024,XNYS,CHD,CHD,Church & Dwight,136369051.37,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1720621010:XNAS,US1720621010,XNAS,CINF,CINF,Cincinnati Financial,62962435.75,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1729081059:XNAS,US1729081059,XNAS,CTAS,CTAS,Cintas,291211512.96,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US17275R1023:XNAS,US17275R1023,XNAS,CSCO,CSCO,Cisco,1523299869.4,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1729674242:XNYS,US1729674242,XNYS,C,C,Stellantis North America,863825463.42,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1746101054:XNYS,US1746101054,XNYS,CFG,CFG,Citizens Financial Group,171727360.62,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1890541097:XNYS,US1890541097,XNYS,CLX,CLX,Clorox,193069336.68,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US12572Q1058:XNAS,US12572Q1058,XNAS,CME,CME,CME Group,412483460.63,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1258961002:XNYS,US1258961002,XNYS,CMS,CMS,CMS Energy,196178456.62,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1912161007:XNYS,US1912161007,XNYS,KO,KO,The Coca-Cola Company,1088956433.09,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1924461023:XNAS,US1924461023,XNAS,CTSH,CTSH,Cognizant Technology Solutions,318653805.59,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US19260Q1076:XNAS,US19260Q1076,XNAS,COIN,COIN,Coinbase,1287811144.82,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1941621039:XNYS,US1941621039,XNYS,CL,CL,Colgate-Palmolive Company,309883754.34,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US1999081045:XNYS,US1999081045,XNYS,FIX,FIX,Comfort Systems USA,498572335.65,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US20825C1045:XNYS,US20825C1045,XNYS,COP,COP,ConocoPhillips,706440433.46,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US2091151041:XNYS,US2091151041,XNYS,ED,ED,Consolidated Edison,195091520.03,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US21036P1084:XNYS,US21036P1084,XNYS,STZ,STZ,Constellation Brands,184253320.72,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US2172041061:XNAS,US2172041061,XNAS,CPRT,CPRT,Copart,234729296.63,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US2193501051:XNYS,US2193501051,XNYS,GLW,GLW,Corning Inc.,1156982882.21,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US22052L1044:XNYS,US22052L1044,XNYS,CTVA,CTVA,Corteva,279855576.84,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US22160K1051:XNAS,US22160K1051,XNAS,COST,COST,Costco,1415279788.45,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US22788C1053:XNAS,US22788C1053,XNAS,CRWD,CRWD,CrowdStrike,1498019092.08,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US2310211063:XNYS,US2310211063,XNYS,CMI,CMI,Cummins,442786537.97,CLASS_A_CANDIDATE_NOT_UNIVERSE
