URL,Evidence_Status,Finding,New_v0_63_Discovery
https://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/acoes/consultas/classificacao-setorial/,REFERENCED_FROM_V0_62,B3 official Classificacao Setorial public query; weekly-updated query base. Not claimed as a new v0.63 discovery.,NO
https://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/acoes/consultas/criterio-de-classificacao/,REFERENCED_FROM_V0_62,B3 official classification criteria establish B3_CLASSIFICACAO_SETORIAL taxonomy authority. Not reopened as a new discovery.,NO
https://www.b3.com.br/main.jsp?doui_processActionId=setLocaleProcessAction&locale=pt_BR&lumA=1&lumII=8AE490CA9A5E21B5019AEBE12A9C42A6&lumPageId=8AE490CA9A5E21B5019AEBE12A684286,REFERENCED_FROM_V0_62,B3 public-data hub route. Not claimed as a new v0.63 discovery.,NO
https://www.b3.com.br/pt_br/market-data-e-indices/servicos-de-dados/up2data/dados-disponiveis/,REFERENCED_AND_TECHNICALLY_EXPANDED_IN_V0_63,v0.62 already identified Up2Data generally; v0.63 followed the official Listed Companies sample/data-dictionary and access-policy links to resolve technical access characteristics.,NO
https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/,NEW_TECHNICAL_ROUTE_RESOLUTION,Official B3 Listed Companies page exposes Search by Industry Classification and the source-native sector/subsector/segment hierarchy.,YES
https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/search?language=pt-br&segment=QWdyaWN1bHR1cmE%3D,NEW_REPRODUCIBILITY_EVIDENCE,"Official page-backed classification query returned 9 listed companies in one result set for Agricultura; result fields include legal name, trading name, governance segment and B3 company code.",YES
https://www.b3.com.br/pt_br/market-data-e-indices/servicos-de-dados/up2data/dados-disponiveis/,EXPANSION_OF_V062_ROUTE_NOT_NEW_ROUTE_CLAIM,Technical expansion of already-known Up2Data route: Listed Companies channel exposes SummaryData and official sample/data-dictionary links.,NO
https://www.b3.com.br/data/files/DE/41/55/00/A0A9C910F37907C9AC094EA8/Listed_Companies.zip,NEW_TECHNICAL_ASSET_REFERENCE,"Official sample ZIP link resolved from B3 page; binary content was not retrievable through the bounded web text channel, so schema content was not inferred.",YES
https://www.b3.com.br/data/files/90/B4/5F/7E/DC1A0A105BF9020AAC094EA8/Catalogo%20de%20Taxonomia%20-%20Portugues.xlsx,NEW_TECHNICAL_ASSET_REFERENCE,"Official UP2DATA data dictionary XLSX link resolved; binary content was not retrievable through the bounded web text channel, so no classification field/code was inferred.",YES
https://www.b3.com.br/data/files/44/20/90/B2/E7D5F910CEC024F9AC094EA8/UP2DATA_Politica_Comercial_2.4.5.pdf,NEW_ACCESS_CLASSIFICATION_EVIDENCE,"Official policy confirms contracted UP2DATA Client/Cloud access, access keys, Listed Companies pricing, Master contract requirement and separate distribution/publication governance.",YES
