Canonical_Feature,v0_56_Status,v0_57_Status,Implementation,Materialized_Rows
EMA20_Slope_5,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
EMA50_Slope_10,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
Range5_Pct,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
Range10_Pct,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
RangeCompression_5_20,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
RangeCompression_10_20,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
RVOL20,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
Gap_Over_ATR14,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
DailyMove_Over_ATR14,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
Dist_High20,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
Dist_High60,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_IMPLEMENTED_PROMOTED,scripts/feature_builder.py,1425
RECENT_IMPULSE_DESCRIPTORS,CONTRACT_DEFINED_NOT_IMPLEMENTED,CANONICAL_SEMANTIC_BINDING_PROMOTED_NO_NEW_COLUMN,capability binding to R5/R20/R60/DailyMove_Over_ATR14/RVOL20,1425
