WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Issuer,Admission_Status,History_State,Liquidity_Class,MedianTurnover20_EUR,Eligibility_DryRun,Universe_Write
US1:US12541W2098:XNAS,CHRW,US12541W2098,XNAS,C. H. Robinson Worldwide,ADMIT,PASS,PREFERRED,143432757.02,ELIGIBLE,NO
US1:US1273871087:XNAS,CDNS,US1273871087,XNAS,Cadence Design Systems,ADMIT,PASS,PREFERRED,574269364.99,ELIGIBLE,NO
US1:US14040H1059:XNYS,COF,US14040H1059,XNYS,Capital One,ADMIT,PASS,PREFERRED,542029873.45,ELIGIBLE,NO
US1:US14149Y1082:XNYS,CAH,US14149Y1082,XNYS,Cardinal Health,ADMIT,PASS,PREFERRED,320528433.69,ELIGIBLE,NO
US1:US14448C1045:XNYS,CARR,US14448C1045,XNYS,Carrier Corporation,ADMIT,PASS,PREFERRED,265598880.95,ELIGIBLE,NO
US1:US1468691027:XNYS,CVNA,US1468691027,XNYS,Carvana,ADMIT,PASS,PREFERRED,437900738.99,ELIGIBLE,NO
US1:US1475281036:XNAS,CASY,US1475281036,XNAS,Casey's General Stores,ADMIT,PASS,PREFERRED,231158159.92,ELIGIBLE,NO
US1:US1491231015:XNYS,CAT,US1491231015,XNYS,Caterpillar Inc.,ADMIT,PASS,PREFERRED,1671980015.94,ELIGIBLE,NO
US1:US12503M1080:XNAS,CBOE,US12503M1080,XNAS,"Cboe Global Markets, Inc.",ADMIT,PASS,PREFERRED,207079827.3,ELIGIBLE,NO
US1:US12514G1085:XNAS,CDW,US12514G1085,XNAS,CDW,ADMIT,PASS,PREFERRED,182952508.46,ELIGIBLE,NO
US1:US03073E1055:XNYS,COR,US03073E1055,XNYS,Cencora,ADMIT,PASS,PREFERRED,316431810.13,ELIGIBLE,NO
US1:US15135B1017:XNYS,CNC,US15135B1017,XNYS,Centene Corporation,ADMIT,PASS,PREFERRED,197027101.89,ELIGIBLE,NO
US1:US15189T1079:XNYS,CNP,US15189T1079,XNYS,Union Pacific Railroad,ADMIT,PASS,PREFERRED,181781683.37,ELIGIBLE,NO
US1:US1252691001:XNYS,CF,US1252691001,XNYS,CF Industries,ADMIT,PASS,PREFERRED,261047331.57,ELIGIBLE,NO
US1:US1598641074:XNYS,CRL,US1598641074,XNYS,Charles River Laboratories,ADMIT,PASS,PREFERRED,224757329.12,ELIGIBLE,NO
US1:US8085131055:XNYS,SCHW,US8085131055,XNYS,Charles Schwab Corporation,ADMIT,PASS,PREFERRED,624016184.24,ELIGIBLE,NO
US1:US16117M3051:XNAS,CHTR,US16117M3051,XNAS,Spectrum,ADMIT,PASS,PREFERRED,258077629.83,ELIGIBLE,NO
US1:US1667641005:XNYS,CVX,US1667641005,XNYS,Chevron Corporation,ADMIT,PASS,PREFERRED,1369762036.14,ELIGIBLE,NO
US1:US1696561059:XNYS,CMG,US1696561059,XNYS,Chipotle Mexican Grill,ADMIT,PASS,PREFERRED,430211145.46,ELIGIBLE,NO
US1:US1712321017:XNYS,CB,US1712321017,XNYS,Chubb Corp.,ADMIT,PASS,PREFERRED,506452893.02,ELIGIBLE,NO
US1:US1713401024:XNYS,CHD,US1713401024,XNYS,Church & Dwight,ADMIT,PASS,PREFERRED,136369051.37,ELIGIBLE,NO
US1:US1255091092:XNYS,CI,US1255091092,XNYS,The Cigna Group,ADMIT,PASS,PREFERRED,338089953.53,ELIGIBLE,NO
US1:US1720621010:XNAS,CINF,US1720621010,XNAS,Cincinnati Financial,ADMIT,PASS,PREFERRED,62962435.75,ELIGIBLE,NO
